snapshot_row_id,family,start_seconds,start_utc,end_seconds,end_utc,read_seconds,read_utc,write_seconds,write_utc,hfStart_seconds,hfStart_utc,hfEnd_seconds,hfEnd_utc,observedStop,hf_before_read,read_to_hf_hours
47,HPIM,169882.156,2026-07-07T23:11:22.156000+00:00,321866.425,2026-07-09T17:24:26.425000+00:00,263998.714,2026-07-09T01:19:58.714000+00:00,264221.771,2026-07-09T01:23:41.771000+00:00,301397.242,2026-07-09T11:43:17.242000+00:00,321866.425,2026-07-09T17:24:26.425000+00:00,False,False,10.388480000000014
48,HPIM,169680.814,2026-07-07T23:08:00.814000+00:00,322202.373,2026-07-09T17:30:02.373000+00:00,259574.38,2026-07-09T00:06:14.380000+00:00,259690.063,2026-07-09T00:08:10.063000+00:00,295077.226,2026-07-09T09:57:57.226000+00:00,312490.4,2026-07-09T14:48:10.400000+00:00,True,False,9.861901666666672
49,HPIM,170562.17,2026-07-07T23:22:42.170000+00:00,323111.197,2026-07-09T17:45:11.197000+00:00,264602.906,2026-07-09T01:30:02.906000+00:00,264794.261,2026-07-09T01:33:14.261000+00:00,,,,,False,False,
50,HPIM,165435.0,2026-07-07T21:57:15+00:00,323118.726,2026-07-09T17:45:18.726000+00:00,263049.169,2026-07-09T01:04:09.169000+00:00,263228.616,2026-07-09T01:07:08.616000+00:00,,,,,False,False,
51,HPIM,167676.701,2026-07-07T22:34:36.701000+00:00,331335.666,2026-07-09T20:02:15.666000+00:00,295634.71,2026-07-09T10:07:14.710000+00:00,295874.921,2026-07-09T10:11:14.921000+00:00,,,,,False,False,
52,HPIM,163788.452,2026-07-07T21:29:48.452000+00:00,333983.367,2026-07-09T20:46:23.367000+00:00,306084.666,2026-07-09T13:01:24.666000+00:00,306655.601,2026-07-09T13:10:55.601000+00:00,,,,,False,False,
53,HPIM,164494.355,2026-07-07T21:41:34.355000+00:00,334666.0,2026-07-09T20:57:46+00:00,287905.0,2026-07-09T07:58:25+00:00,288044.717,2026-07-09T08:00:44.717000+00:00,,,,,False,False,
54,HPIM,174606.98,2026-07-08T00:30:06.980000+00:00,335365.511,2026-07-09T21:09:25.511000+00:00,257637.958,2026-07-08T23:33:57.958000+00:00,257970.481,2026-07-08T23:39:30.481000+00:00,,,,,False,False,
55,HPIM,164777.794,2026-07-07T21:46:17.794000+00:00,335989.411,2026-07-09T21:19:49.411000+00:00,268867.059,2026-07-09T02:41:07.059000+00:00,269059.81,2026-07-09T02:44:19.810000+00:00,,,,,False,False,
56,HPIM,163772.667,2026-07-07T21:29:32.667000+00:00,336724.0,2026-07-09T21:32:04+00:00,263076.757,2026-07-09T01:04:36.757000+00:00,268727.127,2026-07-09T02:38:47.127000+00:00,,,,,False,False,
57,HPIM,164269.395,2026-07-07T21:37:49.395000+00:00,336848.885,2026-07-09T21:34:08.885000+00:00,259092.85,2026-07-08T23:58:12.850000+00:00,259151.274,2026-07-08T23:59:11.274000+00:00,290695.828,2026-07-09T08:44:55.828000+00:00,336848.885,2026-07-09T21:34:08.885000+00:00,False,False,8.778604999999994
58,HPIM,164336.526,2026-07-07T21:38:56.526000+00:00,336944.519,2026-07-09T21:35:44.519000+00:00,275693.46,2026-07-09T04:34:53.460000+00:00,275873.61,2026-07-09T04:37:53.610000+00:00,,,,,False,False,
59,HPIM,163975.588,2026-07-07T21:32:55.588000+00:00,337844.023,2026-07-09T21:50:44.023000+00:00,260589.368,2026-07-09T00:23:09.368000+00:00,260757.314,2026-07-09T00:25:57.314000+00:00,,,,,False,False,
60,HPIM,176771.162,2026-07-08T01:06:11.162000+00:00,338152.651,2026-07-09T21:55:52.651000+00:00,312454.0,2026-07-09T14:47:34+00:00,312636.903,2026-07-09T14:50:36.903000+00:00,,,,,False,False,
61,HPIM,164607.823,2026-07-07T21:43:27.823000+00:00,338621.456,2026-07-09T22:03:41.456000+00:00,278599.4,2026-07-09T05:23:19.400000+00:00,278831.269,2026-07-09T05:27:11.269000+00:00,,,,,False,False,
62,HPIM,167382.848,2026-07-07T22:29:42.848000+00:00,340763.215,2026-07-09T22:39:23.215000+00:00,334888.55,2026-07-09T21:01:28.550000+00:00,335186.074,2026-07-09T21:06:26.074000+00:00,,,,,False,False,
63,HPIM,165502.496,2026-07-07T21:58:22.496000+00:00,340868.0,2026-07-09T22:41:08+00:00,259920.18,2026-07-09T00:12:00.180000+00:00,260078.995,2026-07-09T00:14:38.995000+00:00,,,,,False,False,
64,HPIM,162920.311,2026-07-07T21:15:20.311000+00:00,341909.161,2026-07-09T22:58:29.161000+00:00,290719.292,2026-07-09T08:45:19.292000+00:00,290907.698,2026-07-09T08:48:27.698000+00:00,293802.377,2026-07-09T09:36:42.377000+00:00,341909.161,2026-07-09T22:58:29.161000+00:00,False,False,0.8564124999999897
65,HPIM,164484.543,2026-07-07T21:41:24.543000+00:00,343565.0,2026-07-09T23:26:05+00:00,256306.841,2026-07-08T23:11:46.841000+00:00,314654.385,2026-07-09T15:24:14.385000+00:00,,,,,False,False,
66,HPIM,163501.119,2026-07-07T21:25:01.119000+00:00,344076.666,2026-07-09T23:34:36.666000+00:00,255614.306,2026-07-08T23:00:14.306000+00:00,255531.817,2026-07-08T22:58:51.817000+00:00,288261.288,2026-07-09T08:04:21.288000+00:00,304339.064,2026-07-09T12:32:19.064000+00:00,True,False,9.068606111111109
67,HPIM,169804.662,2026-07-07T23:10:04.662000+00:00,344328.0,2026-07-09T23:38:48+00:00,257510.333,2026-07-08T23:31:50.333000+00:00,259072.726,2026-07-08T23:57:52.726000+00:00,297878.261,2026-07-09T10:44:38.261000+00:00,344328.0,2026-07-09T23:38:48+00:00,False,False,11.21331333333333
